YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2017,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,14.9,,,2.3,10.3,19.5,620,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8
2017,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.4,,,0.4,0.0,1.1,679,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2017,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,1.9,,,0.6,0.8,3.0,659,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2017,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,10.7,,,2.0,6.7,14.7,620,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8
2017,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.2,,,0.2,0.0,0.6,659,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9
2017,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.5,,,0.6,0.4,2.6,"1,335",Overall,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS10,10
2017,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,5.1,,,0.8,3.6,6.6,"1,340",Overall,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2017,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.4,,,0.3,0.0,0.9,"1,335",Overall,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12
2017,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.8,,,0.8,0.2,3.4,666,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10
2017,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,5.8,,,1.2,3.5,8.1,670,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS11,11
2017,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.6,,,0.5,0.0,1.5,666,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2017,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.3,,,0.6,0.1,2.5,662,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10
2017,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,4.4,,,1.4,1.6,7.2,663,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11
2017,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.2,,,0.1,0.0,0.4,662,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS12,12
2017,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,2EDU,YTS04,4
2017,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5
2017,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6
2017,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.5,,,0.6,2.4,4.6,"2,213",Overall,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2017,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,14.8,,,1.0,12.8,16.8,"2,185",Overall,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS08,8
2017,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.6,,,0.2,0.2,1.0,"2,213",Overall,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS09,9
2017,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.2,,,0.8,2.6,5.8,"1,066",Male,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2017,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,16.1,,,1.9,12.4,19.8,"1,048",Male,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8
2017,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.7,,,0.3,0.1,1.3,"1,066",Male,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9
2017,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.7,,,0.6,1.5,3.9,"1,120",Female,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2017,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,13.2,,,1.0,11.2,15.2,"1,110",Female,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS08,8
2017,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.4,,,0.3,0.0,0.9,"1,120",Female,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9
2017,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.6,,,0.4,0.8,2.4,"2,198",Overall,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS10,10
2017,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,4.1,,,0.9,2.4,5.8,"2,203",Overall,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS11,11
2017,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.4,,,0.2,0.0,0.8,"2,198",Overall,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2017,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,2.4,,,0.8,0.9,3.9,"1,058",Male,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10
2017,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,6.7,,,1.6,3.6,9.8,"1,057",Male,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11
2017,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.9,,,0.5,0.0,1.8,"1,058",Male,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12
2017,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,0.3,,,0.2,0.0,0.7,"1,112",Female,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10
2017,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,0.8,,,0.4,0.0,1.6,"1,117",Female,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
2017,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.0,,,0.0,0.0,0.0,"1,112",Female,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12
2017,GA,Georgia,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,63.6,,,5.8,52.3,74.9,177,Overall,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,2EDU,YTS04,4
2017,GA,Georgia,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,65.5,,,8.5,48.9,82.1,112,Male,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5
2017,GA,Georgia,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,54.7,,,11.0,34.1,75.3,63,Female,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6
2017,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,8.2,,,1.0,6.2,10.2,"2,583",Overall,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2017,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,26.1,,,1.7,22.7,29.5,"2,553",Overall,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS08,8
2017,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.8,,,0.5,0.9,2.7,"2,583",Overall,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS09,9
2017,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,11.0,,,1.9,7.3,14.7,"1,263",Male,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2017,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,27.9,,,2.0,24.0,31.8,"1,242",Male,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8
2017,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,2.5,,,0.9,0.7,4.3,"1,263",Male,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9
2017,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.8,,,0.6,3.7,5.9,"1,302",Female,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2017,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,23.6,,,1.7,20.2,27.0,"1,293",Female,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS08,8
2017,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.0,,,0.3,0.4,1.6,"1,302",Female,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9
2017,GA,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,8.6,,,2.0,4.7,12.5,"2,551",Overall,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS10,10
2017,GA,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,14.6,,,2.2,10.3,18.9,"2,545",Overall,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS11,11
2017,GA,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,4.7,,,1.6,1.5,7.9,"2,551",Overall,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2017,GA,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,15.1,,,3.3,8.7,21.5,"1,232",Male,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10
2017,GA,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,22.9,,,3.3,16.4,29.4,"1,227",Male,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11
2017,GA,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,8.6,,,2.6,3.5,13.7,"1,232",Male,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12
2017,GA,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.7,,,0.5,0.7,2.7,"1,298",Female,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10
2017,GA,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,5.8,,,1.0,3.8,7.8,"1,297",Female,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
2017,GA,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.2,,,0.1,0.0,0.4,"1,298",Female,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12
2017,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,61.3,,,8.5,44.6,78.0,50,Overall,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1
2017,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,52.8,,,6.8,39.5,66.1,88,Overall,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,2EDU,YTS01,1
2017,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,1EDU,YTS02,2
2017,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2
2017,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2017,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,2EDU,YTS03,3
2017,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,YTS04,4
2017,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,66.7,,,7.1,52.7,80.7,96,Overall,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,2EDU,YTS04,4
2017,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,1EDU,YTS05,5
2017,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,61.4,,,8.4,44.9,77.9,50,Male,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5
2017,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6
2017,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6
2017,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.1,,,0.6,1.9,4.3,"1,951",Overall,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2017,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,11.0,,,0.9,9.3,12.7,"1,892",Overall,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2017,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.5,,,0.2,0.2,0.8,"1,951",Overall,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS09,9
2017,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.0,,,0.8,4.4,7.6,"1,889",Overall,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2017,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,20.8,,,1.7,17.4,24.2,"1,841",Overall,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS08,8
